"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US28151","Washington County, Mississippi","45095","212","12534","395","1030","194","461","153","2967","344","2740","360","2898","181","2141","281","297","91","32561","386"
"0500000US28111","Perry County, Mississippi","11644","82","2759","204","211","98","152","82","657","113","542","114","720","118","431","142","46","32","8885","179"
"0500000US28019","Choctaw County, Mississippi","8027","106","1975","177","70","41","89","42","505","115","429","102","456","98","346","112","80","55","6052","152"
"0500000US28057","Itawamba County, Mississippi","22652","123","5725","285","213","84","353","103","1260","190","1116","170","1110","144","1547","253","126","68","16927","270"
"0500000US28015","Carroll County, Mississippi","9788","63","2129","229","13","21","101","59","481","198","517","160","712","228","305","167","0","20","7659","220"
"0500000US28043","Grenada County, Mississippi","20380","98","5280","320","383","109","277","130","1394","214","1014","192","1205","211","779","211","228","159","15100","317"
"0500000US28063","Jefferson County, Mississippi","6965","77","1602","192","77","77","13","14","475","107","406","145","323","80","216","111","92","63","5363","170"
"0500000US28041","Greene County, Mississippi","13355","97","2587","236","218","114","203","109","561","138","656","171","510","101","415","167","24","65","10768","222"
"0500000US28093","Marshall County, Mississippi","34390","168","7930","474","604","198","435","171","1749","253","1598","277","1662","239","1744","372","138","85","26460","467"
"0500000US28119","Quitman County, Mississippi","7084","66","1749","138","149","58","88","39","356","58","424","80","413","73","315","98","4","7","5335","117"
"0500000US28011","Bolivar County, Mississippi","31191","152","9749","303","626","186","755","163","1943","196","1736","220","1771","174","2608","263","310","140","21442","319"
"0500000US28073","Lamar County, Mississippi","58850","216","17491","625","1000","240","868","259","3555","371","3785","464","3395","277","3571","473","1317","397","41359","645"
"0500000US28081","Lee County, Mississippi","81318","311","21074","635","1291","261","1158","223","5030","401","4979","361","4509","233","3266","387","841","209","60244","614"
"0500000US28113","Pike County, Mississippi","38230","220","10389","451","773","231","843","213","2350","313","2036","303","2228","220","2030","329","129","111","27841","406"
"0500000US28135","Tallahatchie County, Mississippi","13950","92","2681","212","276","99","183","82","629","117","568","110","636","130","351","144","38","39","11269","191"
"0500000US28129","Smith County, Mississippi","15616","80","3701","189","112","63","300","107","804","188","972","165","997","113","493","142","23","22","11915","199"
"0500000US28131","Stone County, Mississippi","17849","117","4363","349","115","88","265","113","1103","190","858","168","989","154","1021","302","12","19","13486","411"
"0500000US28149","Warren County, Mississippi","45239","186","11723","442","938","224","578","162","2824","342","2547","377","2590","192","1802","352","444","163","33516","391"
"0500000US28023","Clarke County, Mississippi","15393","98","3501","202","236","80","164","83","860","122","767","147","799","139","633","144","42","32","11892","190"
"0500000US28069","Kemper County, Mississippi","10021","72","2649","224","142","103","69","51","418","127","573","128","537","118","884","187","26","27","7372","233"
"0500000US28097","Montgomery County, Mississippi","9713","58","2225","171","142","66","145","82","566","155","569","142","418","59","262","108","123","98","7488","168"
"0500000US28105","Oktibbeha County, Mississippi","47904","235","22209","632","598","195","459","182","1997","301","1776","277","1606","173","13772","541","2001","297","25695","632"
"0500000US28109","Pearl River County, Mississippi","53422","246","13254","493","805","228","664","202","2952","400","2793","330","2933","271","2844","397","263","137","40168","526"
"0500000US28079","Leake County, Mississippi","22242","133","5896","293","350","115","298","155","1560","229","1145","184","1607","165","653","176","283","150","16346","294"
"0500000US28103","Noxubee County, Mississippi","10346","105","2517","169","264","111","120","75","689","107","517","98","634","122","258","93","35","27","7829","150"
"0500000US28099","Neshoba County, Mississippi","28143","167","7821","271","437","130","373","133","2110","227","1890","229","1767","117","1050","212","194","84","20322","273"
"0500000US28121","Rankin County, Mississippi","145643","394","37864","846","2282","373","1868","335","8176","540","8158","593","8738","443","6358","654","2284","428","107779","813"
"0500000US28137","Tate County, Mississippi","27335","133","7573","396","230","135","485","166","1613","235","1276","243","1697","203","2154","346","118","84","19762","357"
"0500000US28077","Lawrence County, Mississippi","12212","80","2954","165","206","87","264","99","599","146","717","149","747","123","341","104","80","49","9258","161"
"0500000US28107","Panola County, Mississippi","32957","225","8449","382","593","203","759","227","1915","286","1838","316","2084","182","1016","220","244","136","24508","349"
"0500000US28161","Yalobusha County, Mississippi","11960","99","2568","183","213","95","218","123","565","128","789","185","548","101","223","108","12","21","9392","174"
"0500000US28017","Chickasaw County, Mississippi","16536","139","3871","275","202","74","363","137","854","216","986","225","786","127","617","189","63","45","12665","254"
"0500000US28029","Copiah County, Mississippi","27741","167","7444","334","457","162","397","129","1573","186","1484","216","1446","138","1886","275","201","104","20297","349"
"0500000US28039","George County, Mississippi","22923","235","6023","428","602","194","460","156","1256","205","1122","248","1760","294","627","240","196","149","16900","339"
"0500000US28049","Hinds County, Mississippi","232954","427","71689","1000","4430","435","3695","501","14029","690","13495","713","13117","531","18012","714","4911","558","161265","1014"
"0500000US28101","Newton County, Mississippi","20646","106","6171","306","233","85","284","108","1244","150","1432","182","1156","110","1626","224","196","101","14475","307"
"0500000US28145","Union County, Mississippi","27303","203","6989","371","430","159","587","181","1826","306","1561","246","1359","218","1041","238","185","115","20314","371"
"0500000US28125","Sharkey County, Mississippi","4432","206","1113","148","38","48","120","58","250","72","231","67","341","82","120","60","13","17","3319","172"
"0500000US28139","Tippah County, Mississippi","21232","141","5451","310","275","130","352","148","1203","224","1305","257","1381","209","754","181","181","119","15781","344"
"0500000US28035","Forrest County, Mississippi","72493","290","23419","651","1175","288","1105","273","4081","313","4079","329","3355","214","8029","556","1595","312","49074","632"
"0500000US28045","Hancock County, Mississippi","44762","193","10145","641","387","138","478","170","1714","300","2536","333","2674","342","2101","511","255","124","34617","634"
"0500000US28071","Lafayette County, Mississippi","51969","189","20564","576","696","192","431","162","2325","292","2124","269","2053","255","11548","588","1387","320","31405","578"
"0500000US28055","Issaquena County, Mississippi","1283","184","153","56","28","22","37","22","31","20","30","20","21","23","6","9","0","13","1130","155"
"0500000US28087","Lowndes County, Mississippi","57053","198","15343","454","958","214","899","239","3320","313","3364","385","2823","248","3416","439","563","184","41710","485"
"0500000US28083","Leflore County, Mississippi","28595","203","9025","325","638","168","897","190","1674","213","1697","230","1860","184","1963","266","296","131","19570","340"
"0500000US28157","Wilkinson County, Mississippi","8636","84","1677","173","148","64","86","61","410","149","351","130","506","160","119","101","57","60","6959","164"
"0500000US28047","Harrison County, Mississippi","194641","530","50048","962","3188","435","2413","357","11557","669","10526","700","10057","514","10995","760","1312","287","144593","955"
"0500000US28065","Jefferson Davis County, Mississippi","11139","64","2253","163","110","58","141","65","506","126","721","155","552","128","204","90","19","26","8886","149"
"0500000US28085","Lincoln County, Mississippi","32998","241","8153","409","339","188","410","135","2113","261","1803","249","2110","251","1247","294","131","88","24845","399"
"0500000US28123","Scott County, Mississippi","27141","184","6848","436","428","190","357","105","1689","239","1507","233","1620","279","1140","336","107","55","20293","435"
"0500000US28159","Winston County, Mississippi","17682","96","4324","176","132","75","335","106","1127","159","902","177","1173","115","549","184","106","77","13358","197"
"0500000US28163","Yazoo County, Mississippi","26919","197","6741","336","466","173","405","138","1838","246","1416","199","1473","252","953","207","190","103","20178","348"
"0500000US28009","Benton County, Mississippi","8159","81","1852","155","86","62","49","34","461","133","487","163","598","163","171","80","0","18","6307","156"
"0500000US28037","Franklin County, Mississippi","7529","64","1967","179","102","66","84","76","314","87","694","129","315","70","388","166","70","50","5562","187"
"0500000US28061","Jasper County, Mississippi","15929","119","3448","231","164","89","152","103","747","206","866","220","827","142","586","169","106","67","12481","240"
"0500000US28067","Jones County, Mississippi","65649","296","16121","684","954","240","1135","286","3763","387","3578","447","3539","342","2611","425","541","236","49528","659"
"0500000US28095","Monroe County, Mississippi","34623","177","7699","297","333","132","690","150","1808","225","1834","271","1827","175","958","195","249","116","26924","341"
"0500000US28133","Sunflower County, Mississippi","25607","122","6208","205","436","101","353","114","1451","179","1512","200","1232","91","1095","179","129","61","19399","198"
"0500000US28155","Webster County, Mississippi","9493","95","2364","134","80","69","176","69","575","91","510","91","558","69","376","109","89","53","7129","143"
"0500000US28001","Adams County, Mississippi","30228","139","6725","379","646","176","290","120","1453","218","1486","279","1382","171","1228","222","240","126","23503","333"
"0500000US28025","Clay County, Mississippi","19021","106","5273","242","226","92","159","89","1191","201","989","163","1319","170","1312","215","77","53","13748","259"
"0500000US28031","Covington County, Mississippi","18405","150","4264","357","218","133","346","146","979","213","955","208","1011","148","634","254","121","84","14141","317"
"0500000US28053","Humphreys County, Mississippi","8215","79","2236","123","165","58","151","66","636","108","496","85","495","86","245","77","48","45","5979","127"
"0500000US29195","Saline County, Missouri","22217","92","5857","256","296","78","351","96","1100","131","1221","148","1125","162","1591","217","173","72","16360","249"
"0500000US29123","Madison County, Missouri","11875","63","2596","177","184","79","137","81","545","119","635","116","588","77","433","149","74","65","9279","193"
"0500000US29229","Wright County, Missouri","17629","118","3904","246","227","79","197","96","1031","162","1029","160","880","98","427","123","113","63","13725","245"
"0500000US29217","Vernon County, Missouri","19891","95","4802","229","249","85","190","65","1228","185","1016","150","1043","120","925","192","151","81","15089","204"
"0500000US29147","Nodaway County, Missouri","21952","93","8246","349","314","84","197","63","731","85","788","65","816","98","4888","379","512","166","13706","352"
"0500000US29041","Chariton County, Missouri","7258","33","1540","101","113","36","61","28","397","58","358","60","389","57","199","61","23","20","5718","100"
"0500000US29079","Grundy County, Missouri","9584","62","2295","139","200","76","125","61","426","74","526","98","445","62","445","104","128","57","7289","150"
"0500000US29141","Morgan County, Missouri","19521","94","3825","275","245","106","250","115","1081","157","928","182","840","129","401","125","80","70","15696","269"
"0500000US29223","Wayne County, Missouri","12940","62","2485","118","100","54","128","66","629","123","704","111","677","66","210","70","37","24","10455","132"
"0500000US29017","Bollinger County, Missouri","11969","65","2552","172","117","61","60","36","721","128","545","130","683","120","405","153","21","18","9417","186"
"0500000US29031","Cape Girardeau County, Missouri","75439","222","22540","601","929","210","1044","236","4132","405","3360","330","3587","234","8424","582","1064","204","52899","604"
"0500000US29205","Shelby County, Missouri","5820","31","1284","63","132","43","69","24","387","70","293","54","260","46","126","39","17","12","4536","60"
"0500000US29225","Webster County, Missouri","36408","130","8994","296","479","137","663","157","2135","205","2262","212","1891","190","1380","198","184","59","27414","309"
"0500000US29005","Atchison County, Missouri","5127","27","990","51","126","38","67","28","187","37","234","45","261","35","82","31","33","16","4137","55"
"0500000US29013","Bates County, Missouri","15717","68","3320","132","258","62","209","69","833","96","914","130","832","73","196","63","78","38","12397","120"
"0500000US29015","Benton County, Missouri","18679","65","3317","165","242","84","190","63","810","104","606","108","954","115","412","106","103","60","15362","162"
"0500000US29035","Carter County, Missouri","5987","58","1629","163","90","53","73","48","320","108","424","113","397","59","186","81","139","84","4358","159"
"0500000US29057","Dade County, Missouri","7392","36","1539","71","101","49","56","21","338","63","364","67","453","47","209","50","18","17","5853","67"
"0500000US29115","Linn County, Missouri","11759","59","2653","123","205","62","92","37","681","93","779","126","557","78","293","80","46","23","9106","109"
"0500000US29091","Howell County, Missouri","38726","178","9555","327","589","133","499","167","2175","225","2199","275","2233","200","1527","225","333","119","29171","302"
"0500000US29101","Johnson County, Missouri","51411","194","16840","529","722","162","639","154","2118","239","2563","227","2325","177","7379","476","1094","221","34571","530"
"0500000US29105","Laclede County, Missouri","33916","153","7961","336","346","123","468","161","1728","254","2375","294","1827","143","986","228","231","90","25955","370"
"0500000US29125","Maries County, Missouri","8678","62","1932","143","96","48","57","42","525","85","363","94","459","124","324","103","108","62","6746","144"
"0500000US29161","Phelps County, Missouri","42973","219","14352","506","524","159","615","148","2113","275","2117","224","1890","217","5889","393","1204","237","28621","503"
"0500000US29165","Platte County, Missouri","95109","250","25165","697","1894","285","1287","238","4883","338","5262","391","5839","307","4351","525","1649","262","69944","732"
"0500000US29187","St. Francois County, Missouri","64251","186","14467","488","725","164","671","174","3499","313","3162","340","3667","242","2205","364","538","176","49784","479"
"0500000US29003","Andrew County, Missouri","16794","111","3964","163","170","64","140","66","803","130","1106","148","922","73","580","125","243","106","12830","179"
"0500000US29033","Carroll County, Missouri","8466","75","1731","135","160","57","75","31","435","68","416","84","399","72","223","52","23","18","6735","130"
"0500000US29061","Daviess County, Missouri","7975","36","1737","84","109","40","92","38","430","61","552","61","404","51","124","32","26","16","6238","95"
"0500000US29103","Knox County, Missouri","3804","26","938","63","119","41","37","19","193","44","179","40","229","26","155","48","26","19","2866","55"
"0500000US29127","Marion County, Missouri","27464","120","6902","269","419","130","320","112","1564","168","1520","162","1426","125","1443","171","210","83","20562","279"
"0500000US29151","Osage County, Missouri","13145","72","3234","180","166","61","134","59","658","106","920","107","654","64","598","141","104","70","9911","179"
"0500000US29181","Ripley County, Missouri","13205","148","2776","177","208","74","247","82","770","120","634","134","638","52","229","104","50","36","10429","150"
"0500000US29219","Warren County, Missouri","32514","201","7270","368","570","162","406","148","1826","238","1791","273","1644","210","820","182","213","112","25244","374"
"0500000US29007","Audrain County, Missouri","24797","140","5387","259","244","99","325","120","1335","186","1378","190","1346","148","697","212","62","33","19410","255"
"0500000US29043","Christian County, Missouri","81122","224","22378","637","1441","270","1212","261","5482","350","4722","372","4788","278","3888","463","845","206","58744","646"
"0500000US29077","Greene County, Missouri","277812","397","78918","1293","3932","381","3797","462","12596","605","12992","501","12144","414","29118","1216","4339","424","198894","1286"
"0500000US29081","Harrison County, Missouri","8249","57","1848","132","198","57","95","43","507","51","443","65","357","69","234","62","14","10","6401","129"
"0500000US29185","St. Clair County, Missouri","9058","55","1733","92","70","37","131","58","387","64","394","72","478","56","233","75","40","31","7325","93"
"0500000US29001","Adair County, Missouri","24527","115","9735","423","419","127","175","95","959","138","1033","150","984","163","5417","379","748","163","14792","398"
"0500000US29199","Scotland County, Missouri","4646","25","920","80","35","26","38","22","336","49","263","58","162","58","81","36","5","9","3726","81"
"0500000US29211","Sullivan County, Missouri","6072","50","1340","110","80","42","85","39","202","62","491","92","300","59","160","63","22","15","4732","102"
"0500000US29045","Clark County, Missouri","6508","48","1336","89","78","37","111","44","315","57","347","66","329","39","149","37","7","8","5172","88"
"0500000US29099","Jefferson County, Missouri","215717","478","53577","893","3632","417","2775","358","12454","567","11972","556","12352","473","8817","607","1575","284","162140","826"
"0500000US29111","Lewis County, Missouri","9670","58","2605","170","78","39","109","41","525","79","556","89","460","42","801","136","76","40","7065","178"
"0500000US29143","New Madrid County, Missouri","17115","105","3905","215","188","70","253","76","949","126","939","165","1056","132","405","117","115","55","13210","198"
"0500000US29157","Perry County, Missouri","18529","99","4550","164","398","90","271","101","977","167","1199","166","1027","98","563","137","115","56","13979","157"
"0500000US29173","Ralls County, Missouri","9819","50","2000","102","44","26","52","34","613","86","550","92","439","53","262","82","40","34","7819","111"
"0500000US29177","Ray County, Missouri","21966","121","5133","195","341","111","294","97","1138","147","1210","171","1354","133","597","142","199","75","16833","181"
"0500000US29189","St. Louis County, Missouri","964213","858","251203","2175","18904","906","11192","691","49012","1200","50283","1317","54476","845","50413","1576","16923","976","713010","1899"
"0500000US29209","Stone County, Missouri","30674","119","5275","295","142","82","178","77","860","178","1664","214","1324","107","847","203","260","118","25399","308"
"0500000US29009","Barry County, Missouri","34285","170","7907","393","416","140","581","153","1539","227","1987","280","1963","227","1197","309","224","123","26378","395"
"0500000US29019","Boone County, Missouri","169714","313","61198","1116","2803","358","1964","347","7777","600","7913","579","7342","384","26940","978","6459","682","108516","1105"
"0500000US29039","Cedar County, Missouri","13375","89","2979","173","211","99","266","89","625","152","863","168","785","151","190","99","39","43","10396","183"
"0500000US29055","Crawford County, Missouri","23366","130","5270","202","320","154","171","80","1470","182","1287","166","1258","160","532","125","232","108","18096","236"
"0500000US29093","Iron County, Missouri","9904","77","1877","90","95","39","124","49","455","59","461","58","518","52","197","47","27","21","8027","101"
"0500000US29117","Livingston County, Missouri","14501","106","3296","193","221","70","145","58","695","109","752","112","882","143","460","140","141","81","11205","208"
"0500000US29135","Moniteau County, Missouri","15345","102","3433","170","157","64","219","71","858","125","956","128","836","105","314","76","93","52","11912","177"
"0500000US29149","Oregon County, Missouri","10350","69","2210","151","155","62","193","89","552","96","440","108","563","115","206","72","101","63","8140","144"
