"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US01069","Houston County, Alabama","104193","*****","100715","*****","70052","73","28456","293","119","79","573","182","0","189","96","73","1419","334","46","67","1373","307","3478","*****","2499","438","224","210","102","157","0","189","0","189","502","299","151","115","79","83","72","76"
"0500000US01073","Jefferson County, Alabama","660793","*****","635965","*****","335894","189","276148","2719","1976","707","10715","770","226","338","2257","2058","8749","1981","155","254","8594","1959","24828","*****","10346","2366","1192","613","171","185","0","189","58","93","12163","2535","898","617","387","358","511","469"
"0500000US01089","Madison County, Alabama","350299","*****","333827","*****","228744","497","81600","2663","1275","598","8597","753","341","298","824","516","12446","2821","197","252","12249","2758","16472","*****","11413","1501","698","581","251","354","112","198","0","189","3336","1420","662","505","249","242","413","379"
"0500000US01097","Mobile County, Alabama","415123","*****","403603","*****","239892","247","146051","1882","2343","765","8596","608","47","77","136","138","6538","2131","257","276","6281","2187","11520","*****","5553","1844","503","415","0","189","0","189","0","189","5430","2038","34","64","34","64","0","189"
"0500000US01101","Montgomery County, Alabama","226189","*****","218437","*****","82093","71","127447","914","359","270","5623","637","0","189","383","345","2532","1080","248","423","2284","996","7752","*****","4856","1256","728","739","0","189","264","397","58","95","1281","826","565","360","236","203","329","319"
"0500000US02020","Anchorage Municipality, Alaska","301010","*****","274197","*****","179205","439","16368","1990","20564","2394","27664","1652","6629","623","562","461","23205","3775","35","60","23170","3770","26813","*****","15753","2588","673","490","529","438","141","170","0","145","4560","1931","5157","1746","1692","1122","3465","1434"
"0500000US02090","Fairbanks North Star Borough, Alaska","99357","*****","91685","*****","70808","145","4115","1136","5119","1515","2497","918","588","875","0","145","8558","1985","0","145","8558","1985","7672","*****","4513","1143","449","362","267","306","0","145","0","145","1338","1027","1105","851","200","286","905","651"
"0500000US02170","Matanuska-Susitna Borough, Alaska","97882","*****","93298","*****","78246","540","682","381","4758","746","1749","362","181","143","347","540","7335","866","0","145","7335","866","4584","*****","3388","469","32","52","125","109","25","43","0","145","229","217","785","329","89","66","696","329"
"0500000US04001","Apache County, Arizona","71828","*****","67264","*****","13619","27","839","200","51753","299","350","78","0","200","0","200","703","321","14","27","689","324","4564","*****","2516","684","0","200","91","174","0","200","0","200","861","586","1096","536","342","384","754","618"
"0500000US04003","Cochise County, Arizona","127448","*****","83414","*****","71552","200","4243","848","1144","271","2420","718","61","98","132","224","3862","1243","0","200","3862","1243","44034","*****","34952","2576","531","732","418","453","132","149","0","200","4793","1667","3208","1224","1702","929","1506","919"
"0500000US04005","Coconino County, Arizona","137682","*****","118554","*****","74950","756","1908","486","35499","923","2958","328","106","173","538","757","2595","1244","48","83","2547","1221","19128","*****","13074","1747","251","225","544","307","80","122","0","200","3861","1483","1318","758","923","733","395","312"
"0500000US04013","Maricopa County, Arizona","4087191","*****","2849511","*****","2325050","1734","200452","5080","64026","2599","159078","3548","8063","974","5703","2186","87139","6423","2907","1114","84232","6408","1237680","*****","903714","18263","8591","1771","12464","2815","3318","1778","969","746","262446","17452","46178","6255","24037","4572","22141","4102"
"0500000US04015","Mohave County, Arizona","203361","*****","171256","*****","158639","67","2078","632","5393","304","2462","684","8","15","24","39","2652","1005","41","67","2611","998","32105","*****","25236","2835","384","412","316","354","0","200","0","200","5291","2550","878","764","878","764","0","200"
"0500000US04017","Navajo County, Arizona","108101","*****","96083","*****","45656","200","643","366","47048","879","706","262","62","101","0","200","1968","925","0","200","1968","925","12018","*****","6593","1363","252","304","1627","949","0","200","0","200","2658","1006","888","440","412","284","476","341"
"0500000US04019","Pima County, Arizona","1004516","*****","642078","*****","534711","372","31208","1912","24893","1271","25974","1576","1687","466","1147","724","22458","2558","296","216","22162","2552","362438","*****","242420","7690","2970","1293","7597","1603","833","710","214","183","87289","6880","21115","3771","13098","2658","8017","2737"
"0500000US04021","Pinal County, Arizona","401918","*****","284365","*****","232468","238","17701","987","16589","1991","6949","1033","1406","492","54","95","9198","2688","134","219","9064","2671","117553","*****","93231","4442","813","571","4163","1992","1030","886","42","75","13323","3534","4951","2045","1369","864","3582","1983"
"0500000US04025","Yavapai County, Arizona","218844","*****","187726","*****","176622","362","1241","429","3155","1047","2265","418","6","10","344","362","4093","1236","0","200","4093","1236","31118","*****","22642","2149","0","200","155","92","0","200","0","200","7396","2199","925","613","78","137","847","588"
"0500000US04027","Yuma County, Arizona","203247","*****","77819","*****","66777","94","3764","739","1676","419","2022","572","13","24","0","200","3567","1203","162","163","3405","1205","125428","*****","92844","4660","959","678","89","88","385","429","0","200","29050","4442","2101","975","1091","631","1010","635"
"0500000US05007","Benton County, Arkansas","242321","*****","203141","*****","180878","763","4039","604","3576","798","8304","585","961","190","551","763","4832","1121","0","190","4832","1121","39180","*****","33575","1583","19","37","204","333","0","190","0","190","3941","1346","1441","726","652","548","789","503"
"0500000US05119","Pulaski County, Arkansas","392702","*****","369251","*****","211742","254","139826","1699","571","491","7830","982","57","96","573","724","8652","1888","184","193","8468","1874","23451","*****","19792","1727","222","281","56","95","81","101","0","190","2108","1338","1192","767","660","526","532","521"
"0500000US05131","Sebastian County, Arkansas","126776","*****","109840","*****","89991","168","9190","552","1292","622","5437","583","0","190","105","168","3825","1159","0","190","3825","1159","16936","*****","13055","1312","48","84","277","305","0","190","0","190","2365","997","1191","844","860","742","331","363"
"0500000US05143","Washington County, Arkansas","220792","*****","184952","*****","159012","380","6311","1379","2302","764","5473","743","4593","1634","327","372","6934","2373","146","151","6788","2344","35840","*****","18290","4159","77","131","82","149","0","190","0","190","16407","4269","984","735","709","761","275","315"
