"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US36085","Richmond County, New York","457794","1314","120200","3379","7322","1225","5479","1237","22704","2085","21971","2165","26674","1574","29536","2685","6514","1402","337594","3208"
"0500000US36087","Rockland County, New York","309658","1003","93360","2559","7517","1044","5613","1108","21932","1199","16972","1326","21708","1353","16180","1776","3438","991","216298","2310"
"0500000US36089","St. Lawrence County, New York","108485","642","30082","1592","1198","497","1628","558","4854","720","5221","737","4937","692","11119","1478","1125","560","78403","1715"
"0500000US36091","Saratoga County, New York","218244","771","51999","1543","3074","743","3199","699","10265","1011","11874","1113","11717","1148","9401","1231","2469","966","166245","1434"
"0500000US36093","Schenectady County, New York","150898","977","38102","1435","2163","639","1488","463","6315","1050","9377","1072","8752","1126","7918","1419","2089","737","112796","1686"
"0500000US36101","Steuben County, New York","95159","384","21318","934","1241","366","977","423","4984","655","4960","601","5394","719","3000","783","762","519","73841","927"
"0500000US36103","Suffolk County, New York","1461562","2537","380940","6255","24167","2248","16226","2489","73909","3138","78541","3632","87770","3068","78353","4401","21974","2486","1080622","6214"
"0500000US36105","Sullivan County, New York","73574","485","16354","1365","1058","477","789","390","3454","699","3063","610","3570","576","4077","907","343","254","57220","1331"
"0500000US36109","Tompkins County, New York","101856","597","41489","2246","993","448","337","195","3769","708","3562","695","3543","604","22695","2129","6590","1811","60367","2178"
"0500000US36111","Ulster County, New York","176586","576","40107","1653","1978","820","1914","684","6649","883","8564","1146","8343","838","10143","1403","2516","752","136479","1688"
"0500000US36113","Warren County, New York","62997","626","13153","1027","1227","444","1204","538","2342","712","2414","720","3006","382","2583","809","377","311","49844","948"
"0500000US36117","Wayne County, New York","88980","488","20363","1082","1413","501","1266","421","4710","690","4617","746","4995","803","2772","718","590","320","68617","959"
